,insult,comment
0,1,You fuck your dad.
1,0,i really don't understand your point.  It seems that you are mixing apples and oranges.
2,0,"A  majority of Canadians can and has been wrong before now and will be again.  Unless you're supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then them's the breaks and we can always regard you as collateral damage like in wartime   and sorry, but  the cheques in the mail."
3,0,"listen if you dont wanna get married to a man or a women DONT DO IT. what would it bother you if gay people got married stay in your lane do you let them do them. And your god is so nice but quick to judg if your not like him, thought you wasnt suppose to judge people."
4,0,"C c b u1ea1n xu u1ed1ng  u0111 u01b0 u1eddng bi u1ec3u t nh 2011 c   n ho  kh ng    C c ng u01b0 d n ng u1ed3i cu   u0111 u1ea7u chi u1ee5 nh u1ee5c c   n ho  kh ng   C c n ng d n gi u1eef  u0111 u1ea5t  u1edf V u0103n Giang, C u1ea7n Th u01a1 c   n ho  kh ng   ................. R u1ed1t cu u1ed9c  u0111 u01b0 u1ee3c g   th  ch ng ta  u0111  bi u1ebft ! Ai c u0169ng y u chu u1ed9ng ho  b nh, nh u01b0ng  u0111 i khi ho  b nh ch u1ec9 th u1eadt s u1ef1  u0111 u1ebfn sau chi u1ebfn tranh m  th i. Kh ng c n con  u0111 u01b0 u1eddng n o ch u1ecdn kh c  u0111 u,  u0111 u1eebng m u01a1 th m n u01b0 ."
5,0,"@SDL OK, but I would hope they'd sign him to a one year contract to start with. Give him the chance to be reliable and productive, but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits."
6,0,Yeah and where are you now
7,1,shut the fuck up. you and the rest of your faggot friends should be burned at the stake
8,1,Either you are fake or extremely stupid...maybe both...
9,1,That you are an idiot who understands neither taxation nor women's health.
10,0,"@jdstorm dont wish him injury but it happened on its OWN and i DOUBT he's injured, he looked embarrassed to me"
11,0,"Be careful,Jimbo.OG has a fork with your name on it."
12,0,@tonnyb  Or they just don't pay attention
13,0,Hmmm. Perhaps some who are too pig faced to get laid and therefore have  ero chance of getting pregnant from such activity hold something against women who can   IDK. Stream of consciousnees thought after looking at her.
14,0,"@barrettmarson Huh  Her income was $21,912. Her spending was $5,470. My math puts that at 24.9%."
15,1,FOR SOME REASON U SOUND RETARDED. LOL. DAMN. WHERE U BEEN NEGRO
16,1,You with the 'racist' screen name  You are a PieceOfShit..........
17,0,"Oh! & cheating as well...1966 cup was a cheat fest, & you still dare to post that comment..shame on you lol"
18,1,your such a dickhead...
19,1,Your a retard go post your head up your #%&*
20,0,@EephusBlue Makes you want to say  Mike MacWHOgal
21,0,http   www.youtube.com watch v tLYLLPHKRU4
22,0,And you know they've burned holes in all the carpeting.
23,0,you are a land creature. You would drown....
24,0,"To all those doom and gloomers, the chicken littles who claim the sky is falling and that society is collapsing...Canada has had gay marriage nationwide for years. Where is the disaster  Where is the collapse and the persecution you're shouting about  Where is it  Please, show us some examples because it's starting to look like your threats and fears and warnings are nothing but HOT AIR."
25,0,"Craig, we have been saying from the start that this is a very entertaining show.  It awakens the horny little Goth in me.  I met my boyfriend during the first season and one of the first thing we did was watch AHS at my house.  I know he likes me and all but to this day he is sure I am far creepier and kinkier than he could ever be.  Thanks, American Horror Story.  Sweet Clam loves you."
26,0,Strange you are talking about that when there were Chelsea fans in here belittling the Community Shield
27,0,But how would you actually get the key out
28,0,"oh cool, some more internet points for your collection!"
29,0,"Even though I think there are better coaches out there, I am glad Del Negro is keeping his job.  I never thought he got enough credit those years when he took those average Chicago Bulls teams he coached to the playoffs 2 years in a row"
30,0,"russellpiano  Hmmmm...how can we spin Obama honoring Vietnam troops as something negative.Answer  Doesn't matter! Look at our followers. They'll take anything.                                                                                            Obama team    Hmmm, how can we make the liberal Messiah look better in light of the revelations of his leaking classified information to the New York Times I know, lets have a bogus photo shoot at the Viet Nam Memorial. That will make Obama look like he cares about vets  but first we'll have to clear all the vets out of the immediate area because they can't be trusted ."
31,0,"A good article, which, for all the good it will do, could have been delivered to a brick wall."
32,0,"Head's up warning...another source of funding for Media Matters is Peter Lewis of the Progessive Insurance Company. You know, those auto insurance commercials that run every 5 minutes on cable television featuring the gal who looks like a blow up doll with red lips and  a perfectly round mouth...if you know what I mean. IF you have Progressive  auto insurance, just know that part of your premium is going to fund a progressive liberal  organi ation hell bent  on destroying  our country and our free speech. Their mission is to  bring down  Hannity,Beck,Dobbs,Lavin,Limbaugh,Boort ,etc. We must not let them win."
33,0,@sdnoriko LOL as if Capcom listens. Watch them fuck this up too. I hope I am wrong. I love Okami.
34,1,"Allinit123, your hypocrisy is sickening, you ignorant loser."
35,0,Fast & furious didn't work out like they planned did it .............lololololololol
36,0,"mitt isn't the best candidate for president.......but, going against the worst candidate ever should help him tremendously.  LOL   obama is one and done......it could happen no other way."
37,1,I can't believe the stupid people on this site that have no idea what is going on.  You fools.  You are all useful idiots.  They are hiding the truth because you fools who protect him would look like the useful idiots you are.
38,1,fucking behave then you prick!
39,0,The only  other  relevant fact is that HE IS DESTROYING AMERICA!
40,0,You are a liar.
41,1,"Is that it    your sum total to any conversation is first abuse and then calling them a troll..   You are a typical socialist idiot.  Keep up your non existent class warfare, it is as pointless as you."
42,0,@beanstalk @briview Welp then NBW right
43,0,"Good job, fellas. I didn't quite read the rules about a signature piece, but I guess that was as good as any. I found some great blogs to follow, and to share over at G . If I'm not commenting on your blogs, it's because I always throw my two cents in when I post my share. Add me on there if you are a Googler.  https   plus.google.com 109258118458627782001 posts. Again, congratulations to the winners, and I hope we get the chance to submit something else. This was fucking fun."
44,0,"I say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment... The lady had a kid 1 week ago. Women aren't safe to have sex after child birth for AT LEAST 6 weeks. So even if this WAS  consensual, it would have been wayyyyy too soon and hurt the lady. I am so glad the the baby is so young and will not remember this event happening in it's house and I hope the mother recovers quickly."
45,1,faggot
46,0,You right if you are relaxe then you can give better result or perform and your identity should be from your work.
47,1,Aimless Abe you are a delusion weirdo that should be locked up inside and kept away from computers.  Anyone who doubts the lunacy of Abe the moronic prog frog from NYC please read this thread and you will see Abe completely come apart from the seams and go off the deep end.
48,0,"That, I do not doubt...  ....as a Blackberry clone.  But, your original argument was not that Android would have existed, just that Android somehow predates iOS development."
49,0,"OKC should work out a deal to get a PG who plays more like Parker or CP3.  I think Nash at the point, and move Westbrook to SG that team would be unstoppable.  Imagine the shots Nash would create for Durant.  Then Westbrook would be at his natural position too, the guy doesn't create shots or distribute."
50,0,Maher's show goes on and on.... Palin's  Alakda show gets canceled.  Isn't the  free market  wonderful
51,1,Even as a troll you are a pathetic failure.
52,0,Gra ie mille Sabrina! Sei cos  dolce.  Baci.
53,0,"yeah well, it would still be better than letting them sit there for 20 30 years on my dime before sticking a needle in their veins. I say give them ALL a noose. If they choose to kill themselves, so be it."
54,0,um   holy fuck i need a cigarette
55,1,"You're a moron, truth is beyond your reach"
56,0,You seem wistful.
57,0,"Damn, speedy recovery, Paul...raining prayers down on you!"
58,0,The laughs you two heard were triggered by memories of his own high flying exits off moving beasts
59,1,Your anti Semitic rants are not welcomed here. You are a racist moron. FU!
60,0,@Nonstopdrivel Was FredEx on this team
61,1,"god, you're tiresome. get a life, you loser."
62,0,"stop pretending ur not bradley's side. you're the BS..are u blind don't give us that stupid long explainations of yours, you  sounds like that 2 idiot judges exactly carbon copy !!...arum we need our moneyyyy bacckkkkkkk !!!!!!"
63,0,fucking weird game man
64,0,I told you I would give it if you did. You started acting likje a tough guy behind your moms computer then I asked you 20 times for an address and you still won't give it.
65,0,I don't know if Lewis is a little boy or little girl. Either way it becomes the third on my list of petulant idiots. You will understand when you grow up. Ask an old bastard member of your family to explain. Such actions cannot be tolerated. How come you blame the line judge  Weird.
66,0,thats a pathetic flop fuck you jvg
67,0,Why should they bother improving ios if they sell more phones than they care to produce. These advice are better served to the also runs... wp first and foremost
