,insult,comment
0,0,like this if you are a tribe fan
1,1,you are idiot.......................
2,1,"I am a woman Babs, and the only  war on women  I see is coming from jacka  es like you.  I do not need your protection or your ignorant rhetoric masquerading as representing my best interests."
3,1,WOW & YOU BENEFITTED SO MANY WINS THIS YEAR FROM HIS BAT NICE STUPID
4,1,haha green me red you now loser whos winning now moron
5,0,"Me and God both hate faggots.  What is, what has the difference between a fag and a refrigerator? Refrigerators do not fart when you put the meat in."
6,1,"Oh go kiss the ass of a goat....and you DUMMYCRAPS insult veterans....even YOUR Coward Incompetent Chief.....everyone of YOU ARE the enemy....and you will, you shall ALL fall.....and hard too BOY."
7,0,"Not a chance Kid, you are wrong."
8,0,On Some real Shit FUck LIVE JASMIN!!!
9,1,ok but where the hell was it released?you all copy articles from each pther but did anyone do the fucking search to tell us where the fuck was it released?fuck it.
10,1,@CrankyVince has found our slice of the Internets!  FUCK YOU.
11,1,"HAHAHAHAH, you are a delusional moron."
12,0,"There you are, been missing you.  How are you doing, feeling better?"
13,1,"wenttoau  He made a prediction just like you, but he does not know anything about football. That makes sense. Pffft! You like to dish it out about Bama, but let someone say something about auburn and you start crying,  idiots ."
14,1,KATHY LEE....SHUT YOUR PIE HOLE...AND WHATS WITH THAT FACE AND FISH LIPS....DUMB ARSE
15,1,You are a crank.
16,0,Come on oppa you are a man. XD
17,0,I like your enthusiasm and initiative. You are a real go getter.
18,1,Juggalo you suck at trolling
19,0,"you seem a very eloquent, grounded and educated person."
20,0,"Its a wild wild world, keep your dirty fingers off of my human rights."
21,0,Are you about to recapture your swag?
22,1,no shit.. you must be a genius
23,0,"N o tenho a m nima paci ncia pra esse tipo de babaca que acha que se existe um problema grave acontecendo ningu m pode nem ligar a tv pra ver uma novela. Tem que viver em fun  o de mensa  o, corrup  o, greve, blablabla. Saco."
24,1,are you on 'roids by chance?
25,1,You are a disgusting human being
26,0,you are well versed when it may be on.  Must be one of your favs if you know those details.
27,0,we?  you and the mouse in your pocket?
28,0,glad you reali e this :P  kidding.
29,0,Damn! You would rock this so hard!
30,0,In your face Cano haters
31,0,WHAT FOUL ARE YOU KIDDING!!!!!!!!
32,1,"You would know alot about rolls, fat boy"
33,0,You look pretty damn good! ^ ^
34,1,"You are a moron. I am a computer guy that has my own company. My mouth will get me in trouble? I doubt it. Stupid M F er.  Again, what is the name of your other account? I know, you do not want say... Douche bag."
35,0,It is the corrupt government blasting underground bunkers and tunnels in preparation for the coming nuclear/economic disaster.  They hope we will all die off so they can come out after the fallout is gone and rebuild the world as kings.  They will fail...
36,1,the phillies are terrible. go back to your cave
37,1,You are so naive.....useful idiot.
38,0,Are you kidding me?
39,1,"You are an opinionated, uneducated idiot. And Kingdom of Heaven Director's Cut is a masterpiece."
40,1,Shut up muffin you soft a** b*tch
41,0,"Okay, I am going to blow your fucking minds.  What if the three elderly members of the council are not just ineffectual pushovers, but are actually being bloodbended by Tarrlok to give him the majority vote on every decision?  It is, it has a stretch, because you 'd think somebody would... notice, but they surely could not be THAT willing to turn Republic City into a police state at the first sign of trouble, could they?"
42,0,"It is, it has also a synonym for shit."
43,0,Well then you are welcome to contact your own lawyer.
44,1,@Presidentjlh  @JenBroflovski you can ask your mom about it
45,0,"Jimmy, your pop ups and fly outs are the reason I can never be happy."
46,1,"Well i got on here, but i think im might just get back off. See you delusion fans later!!:"
47,0,You are so strong
48,0,"Coach, please stop trying to explain this away.  The more you speak/tweet the deeper your hole becomes."
49,1,"Learn reading comprehension. Sure Urlacher is above average, maybe even great, as I said he is, he has the Dick Butkus of your time. In response to the  it takes a team  comment, I just add that it is further proof that the Bears suck. As for Chicago and politics, do you really need to be told about the  Chicago way ?  It influences everything, even your crappy organi ation called the Chicago bears."
50,1,Your mom is better.
51,0,ALYSSA LOOK...MATCHES YOUR WALL HANGING YOU MADE
52,0,justice over there then............are you watching England??
53,0,You are funny.  Do you do stand up?
54,1,"No personal abuse from me   unless you feel it applies to you and then you are very welcome. Pleasingly, the text you quote supports what I said. Even if it did not, today it is thought that Canut or Cnut tried to command the waves. The perception is the most important not the fact. Do you see?  There  you have learned not to take things in a mechanical, pedantic, literal sense. At least I hope you have learned.    Anton, a part of your straining brain has indeed 'checked out'  nobody at home.   Your username reveals something of you.  Hope this helps."
55,1,man i 100% agree with you Shaunie fake ass with them even fake ass tear can cry me a river the bitch just like them to other rats are trying to save face
56,1,well guess what..... I do not give a fuck lol  is mom though get your English right nigga!!
57,0,I finally figured out what that white shit is lmao. Dude bust a nut in her ass and she spit it out in the pool. Gross ass females.
58,0,*desecrate   Are you happy now?
59,0,"Yes, you probably are."
60,0,you are certainly entitle to your opinion
61,0,What kind of porn do you watch?  This is not porn.
62,0,You must have great abs by now.
63,1,Should not you be at your ballet lesson little girl?
64,0,Fucking Red Neck Bitch!!
65,1,Keep whining like a little pu ssy Mack. You are making my day.
66,0,You been goofin' w/ the bees?
67,0,Um are you planning on getting married again?
68,0,You are living proof that bath salts effect thinking.
69,0,BOy shut up Im Black I said biscuit cause I did not want to say Bitch so shut ur dumb ass up really bro get a life and get off my cat
70,1,"you must be pretty short bus window lickin special if you aint caught on buy now that  iv been makein all the typos in these comments for shit  and giggles ..if not .your as stupid as you think i am  sure i made a mistake on the ecard but with bigger issues in the world like murder and abused kids i didnt think it was that bigga rats ass to freak out about, hell im glad i made the mistake laughin at yall pinched ass bitches has been really cheap or is that cheep...oh well entertainment is entertainment."
71,0,seems like you had a lot of fun ! :
72,0,nice supercam but pl  release a device wid exynos 5 chip... LG is already on a line wid S4 quad krait... stop using exynos 4 nw n also upgrade ur mali gpu to 600... it will be a slap on qualcomm's face...
73,1,When you were potty training how did your mama convince you that you were not melting?
74,1,"i bet you cant dance better you dum bitch stfu ... you proably mad a jamaican fucked you and left you , you dum smut"
75,1,"You are clearly stupid, that is what he meant you thumb."
76,0,nrg you are wasting your time
77,1,Sounds like your mother.
78,1,fuck off indian makes u proud
